Season,DateofMatch,HomeTeam,AwayTeam,HomeTeamScore,AwayTeamScore,Winner,Location,Derby
2023/2024,28/02/2024,Nottm Forest,Man Utd,0,1,Man Utd,Nottingham,FALSE
2023/2024,01/12/2023,Notts Co,Shrewsbury,2,3,Shrewsbury,Nottingham,FALSE
2023/2024,04/11/2023,Notts Co,Crawley,3,2,Notts Co,Nottingham,FALSE
2021/2022,16/11/2021,Notts Co,Rochdale,1,2,Rochdale,Nottingham,FALSE
2019/2020,11/30/2019,Oldham,Burton,0,1,Burton,Manchester,FALSE
2021/2022,16/11/2021,Oldham,Ipswich,1,2,Ipswich,Manchester,FALSE
2018/2019,20/11/2018,Oxford City ,Tranmere,0,2,Tranmere,Oxford,FALSE
2019/2020,11/09/2019,Oxford City ,Solihull Moors,1,5,Solihull Moors,Oxford,FALSE
2020/2021,09/11/2020,Oxford City ,Northampton,2,1,Oxford City,Oxford,FALSE
2019/2020,01/04/2020,Oxford Utd,Hartlepool,4,1,Oxford Utd,Oxford,FALSE
2019/2020,02/04/2020,Oxford Utd,Newcastle,2,3,Newcastle,Oxford,FALSE
2020/2021,07/11/2020,Oxford Utd,Peterborough,1,2,Peterborough,Oxford,FALSE
2021/2022,07/11/2021,Oxford Utd,Bristol Rovers,2,2,Draw,Oxford,FALSE
2023/2024,02/12/2023,Oxford Utd,Grimsby,2,0,Oxford Utd,Oxford,FALSE
2023/2024,04/11/2023,Oxford Utd,Maidenhead,2,0,Oxford Utd,Oxford,FALSE
2022/2023,09/01/2023,Oxford Utd,Arsenal,0,3,Arsenal,Oxford,FALSE
2018/2019,10/11/2018,Oxford Utd,Forest Green,0,0,Draw,Oxford,FALSE
2022/2023,26/11/2022,Oxford Utd,Exeter,4,1,Oxford Utd,Oxford,FALSE
2019/2020,11/19/2019,Peterborough,Stevenage,2,0,Peterborough,Peterborough,FALSE
2019/2020,12/01/2019,Peterborough,Dover,3,0,Peterborough,Peterborough,FALSE
2021/2022,01/03/2022,Peterborough,Man City,0,2,Man City,Peterborough,FALSE
2021/2022,05/02/2022,Peterborough,QPR,2,0,Peterborough,Peterborough,FALSE
2022/2023,05/11/2022,Peterborough,Salford,0,0,Draw,Peterborough,FALSE
2021/2022,08/01/2022,Peterborough,Bristol Rovers,2,1,Peterborough,Peterborough,FALSE
2023/2024,02/12/2023,Peterborough,Doncaster,2,1,Peterborough,Peterborough,FALSE
2023/2024,04/11/2023,Peterborough,Salford,2,2,Draw,Peterborough,FALSE
2023/2024,07/01/2024,Peterborough,Leeds,0,3,Leeds,Peterborough,FALSE
2018/2019,01/12/2018,Peterborough,Bradford City,2,2,Draw,Peterborough,FALSE
2020/2021,28/11/2020,Peterborough,Chorley,1,2,Chorley,Peterborough,FALSE
2019/2020,12/17/2019,Plymouth,Bristol Rovers,0,1,Bristol Rovers,Plymouth,FALSE
2023/2024,06/01/2024,Plymouth,Sutton,3,1,Plymouth,Plymouth,FALSE
2023/2024,06/02/2024,Plymouth,Leeds,1,4,Leeds,Plymouth,FALSE
2021/2022,16/11/2021,Plymouth,Sheff Wed,3,0,Plymouth,Plymouth,FALSE
2018/2019,10/11/2018,Plymouth,Stevenage,1,0,Plymouth,Plymouth,FALSE
2018/2019,01/12/2018,Plymouth,Oxford Utd,1,2,Oxford Utd,Plymouth,FALSE
2020/2021,28/11/2020,Plymouth,Lincoln,2,0,Plymouth,Plymouth,FALSE
2018/2019,11/11/2018,Port Vale,Sunderland,1,2,Sunderland,Burslem,FALSE
2020/2021,07/11/2020,Port Vale,King's Lynn,0,1,King's Lynn,Burslem,FALSE
2021/2022,06/11/2021,Port Vale,Accrington,5,1,Port Vale,Burslem,FALSE
2022/2023,05/11/2022,Port Vale,Exeter,2,3,Exeter,Burslem,FALSE
2021/2022,08/01/2022,Port Vale,Brentford,1,4,Brentford,Burslem,FALSE
2023/2024,04/11/2023,Port Vale,Burton,0,0,Draw,Burslem,FALSE
2023/2024,12/12/2023,Port Vale,Stevenage,3,4,Stevenage,Burslem,FALSE
2018/2019,26/01/2019,Portsmouth,QPR,1,1,Draw,Portmouth,FALSE
2019/2020,11/30/2019,Portsmouth,Altrincham,2,1,Portsmouth,Portmouth,FALSE
2019/2020,1/25/2020,Portsmouth,Barnsley,4,2,Portsmouth,Portsmouth,FALSE
2019/2020,03/02/2020,Portsmouth,Arsenal,0,2,Arsenal,Portsmouth,FALSE
2021/2022,04/12/2021,Portsmouth,Harrogate,1,2,Harrogate,Portmouth,FALSE
2021/2022,06/11/2021,Portsmouth,Harrow,1,0,Portsmouth,Portmouth,FALSE
2022/2023,26/11/2022,Portsmouth,MK Dons,3,2,Portsmouth,Portmouth,FALSE
2020/2021,28/11/2020,Portsmouth,King's Lynn,6,1,Portsmouth,Portmouth,FALSE
2018/2019,06/01/2019,Preston,Doncaster,1,3,Doncaster,Preston,FALSE
2019/2020,01/04/2020,Preston,Norwich,2,4,Norwich,Preston,FALSE
2022/2023,07/01/2023,Preston,Huddersfield,3,1,Preston,Preston,FALSE
2022/2023,28/01/2023,Preston,Tottenham,0,3,Tottenham,Preston,FALSE
2018/2019,15/02/2019,QPR,Watford,0,1,Watford,London,FALSE
2018/2019,06/01/2019,QPR,Leeds,2,1,QPR,London,FALSE
2018/2019,05/02/2019,QPR,Portsmouth,2,0,QPR,London,FALSE
2019/2020,01/05/2020,QPR,Swansea,5,1,QPR,London,FALSE
2019/2020,1/24/2020,QPR,Sheff Wed,1,2,Sheff Wed,London,FALSE
2020/2021,09/01/2021,QPR,Fulham,0,2,Fulham,London,TRUE
2021/2022,08/01/2022,QPR,Rotherham,2,1,QPR,London,FALSE
2023/2024,06/01/2024,QPR,Bournemouth,2,3,Bournemouth,London,FALSE
2023/2024,04/11/2023,Ramsgate,Woking,2,1,Ramsgate,Ramsgate,FALSE
2019/2020,01/04/2020,Reading,Blackpool,2,2,Draw,Reading,FALSE
2019/2020,1/25/2020,Reading,Carding,1,1,Draw,Reading,FALSE
2019/2020,03/03/2020,Reading,Sheff Utd,1,2,Sheff Utd,Reading,FALSE
2023/2024,04/11/2023,Reading,MK Dons,3,2,Reading,Reading,FALSE
2022/2023,07/01/2023,Reading,Watford,2,0,Reading,Reading,FALSE
2019/2020,11/19/2019,Rochdale,Wrexham,1,0,Rochdale,Manchester,FALSE
2019/2020,12/01/2019,Rochdale,Boston Utd,0,0,Draw,Manchester,FALSE
2019/2020,01/04/2020,Rochdale,Newcastle,1,1,Draw,Manchester,FALSE
2020/2021,07/11/2020,Rochdale,Stockport,1,2,Stockport,Manchester,FALSE
2021/2022,05/12/2021,Rochdale,Plymouth,1,2,Plymouth,Manchester,FALSE
2021/2022,07/11/2021,Rochdale,Notts Co,1,1,Draw,Manchester,FALSE
2018/2019,10/11/2018,Rochdale,Gateshead,2,1,Rochdale,Manchester,FALSE
2018/2019,02/12/2018,Rochdale,Portsmouth,0,1,Portsmouth,Manchester,FALSE
2019/2020,01/04/2020,Rotherham,Hull,2,3,Hull,Rotherham,FALSE
2021/2022,03/12/2021,Rotherham,Stockport,1,0,Rotherham,Rotherham,FALSE
2021/2022,06/11/2021,Rotherham,Bromley,3,0,Rotherham,Rotherham,FALSE
2018/2019,21/11/2018,Salford,Shrewsbury,1,3,Shrewsbury,Manchester,FALSE
2019/2020,11/09/2019,Salford,Burton,1,1,Draw,Manchester,FALSE
2020/2021,07/11/2020,Salford,Hartlepool,2,0,Salford,Manchester,FALSE
2021/2022,05/12/2021,Salford,Chesterfield,0,2,Chesterfield,Manchester,FALSE
2023/2024,14/11/2023,Salford,Peterborough,4,5,Peterborough,Manchester,FALSE
2022/2023,16/11/2022,Salford,Peterborough,0,3,Peterborough,Manchester,FALSE
2023/2024,12/12/2023,Scarborough,Forest Green,2,4,Forest Green,Scarborough,FALSE
2020/2021,08/11/2020,Scunthorpe,Solihull Moors,2,3,Solihull Moors,Scunthorpe,FALSE
2021/2022,06/11/2021,Scunthorpe,Doncaster,0,1,Doncaster,Scunthorpe,FALSE
2018/2019,10/11/2018,Scunthorpe,Burton,2,1,Scunthorpe,Scunthorpe,FALSE
2018/2019,06/01/2019,Sheff Utd,Barnet,0,1,Barnet,Sheffield,FALSE
2018/2019,05/01/2019,Sheff Utd,Luton,0,0,Draw,Sheffield,FALSE
2019/2020,01/05/2020,Sheff Utd,AFC Fylde,2,1,Sheff Utd,Sheffield,FALSE
2019/2020,6/28/2020,Sheff Utd,Arsenal,1,2,Arsenal,Sheffield,FALSE
2020/2021,10/02/2021,Sheff Utd,Bristol City,1,0,Sheff Utd,Sheffield,FALSE
2022/2023,01/03/2023,Sheff Utd,Tottenham,1,0,Sheff Utd,Sheffield,FALSE
2022/2023,07/02/2023,Sheff Utd,Wrexham,3,1,Sheff Utd,Sheffield,FALSE
2022/2023,19/03/2023,Sheff Utd,Blackburn,3,2,Sheff Utd,Sheffield,FALSE
2020/2021,23/01/2021,Sheff Utd,Plymouth,2,1,Sheff Utd,Sheffield,FALSE
2019/2020,03/04/2020,Sheff Wed,Man City,0,1,Man City,Sheffield,FALSE
2021/2022,07/11/2021,Sheff Wed,Plymouth,0,0,Draw,Sheffield,FALSE
2022/2023,04/11/2022,Sheff Wed,Morecambe,2,0,Sheff Wed,Sheffield,FALSE
2022/2023,07/01/2023,Sheff Wed,Newcastle,2,1,Sheff Wed,Sheffield,FALSE
2023/2024,06/01/2024,Sheff Wed,Cardiff,4,0,Sheff Wed,Sheffield,FALSE
2022/2023,26/11/2022,Sheff Wed,Mansfield,2,1,Sheff Wed,Sheffield,FALSE
2023/2024,27/01/2024,Sheff Wed,Coventry,1,1,Draw,Sheffield,FALSE
2022/2023,28/01/2023,Sheff Wed,Fleetwood,1,1,Draw,Sheffield,FALSE
2023/2024,03/11/2023,Sheppey United,Walsall,1,4,Walsall,Isle of Sheppey,FALSE
2018/2019,26/01/2019,Shrewsbury,Wolves,2,2,Draw,Shrewsbury,FALSE
2018/2019,05/01/2019,Shrewsbury,Stoke,1,1,Draw,Shrewsbury,FALSE
2018/2019,11/11/2018,Shrewsbury,Salford,1,1,Draw,Shrewsbury,FALSE
2019/2020,11/09/2019,Shrewsbury,Bradford City,1,1,Draw,Shrewsbury,FALSE
2019/2020,11/30/2019,Shrewsbury,Mansfield,2,0,Shrewsbury,Shrewsbury,FALSE
2019/2020,1/14/2020,Shrewsbury,Bristol City,1,0,Shrewsbury,Shrewsbury,FALSE
2019/2020,1/26/2020,Shrewsbury,Liverpool,2,2,Draw,Shrewsbury,FALSE
2022/2023,05/11/2022,Shrewsbury,York City,2,1,Shrewsbury,Shrewsbury,FALSE
2023/2024,04/11/2023,Shrewsbury,Colchester,3,2,Shrewsbury,Shrewsbury,FALSE
2022/2023,07/01/2023,Shrewsbury,Sunderland,1,2,Sunderland,Shrewsbury,FALSE
2023/2024,07/01/2024,Shrewsbury,Wrexham,0,1,Wrexham,Shrewsbury,TRUE
2018/2019,02/12/2018,Shrewsbury,Scunthorpe,1,0,Shrewsbury,Shrewsbury,FALSE
2022/2023,26/11/2022,Shrewsbury,Peterborough,3,1,Shrewsbury,Shrewsbury,FALSE
2020/2021,29/11/2020,Shrewsbury,Oxford City,1,0,Shrewsbury,Shrewsbury,FALSE
2018/2019,20/11/2018,Slough,Sutton,2,1,Slough,Slough,FALSE
2023/2024,05/11/2023,Slough,Grimsby,1,1,Draw,Slough,FALSE
2018/2019,02/12/2018,Slough,Gillingham,0,1,Gillingham,Slough,FALSE
2018/2019,30/11/2018,Solihull Moors,Blackpool,0,0,Draw,Solihull,FALSE
2019/2020,12/02/2019,Solihull Moors,Rotherham,3,4,Rotherham,Solihull,FALSE
2022/2023,05/11/2022,Solihull Moors,Hartlepool,2,2,Draw,Solihull,FALSE
2021/2022,16/11/2021,Solihull Moors,Wigan,1,2,Wigan,Solihull,FALSE
2022/2023,05/11/2022,South Shields,Forest Green,0,2,Forest Green,South Shields,FALSE
2018/2019,16/01/2019,Southampton,Derby,2,3,Derby,Southampton,FALSE
2019/2020,01/04/2020,Southampton,Huddersfield,2,0,Southampton,Southampton,FALSE
2019/2020,1/25/2020,Southampton,Tottenham,1,1,Draw,Southampton,FALSE
2021/2022,02/03/2022,Southampton,West Ham,3,1,Southampton,Southampton,FALSE
2021/2022,05/02/2022,Southampton,Coventry,2,1,Southampton,Southampton,FALSE
2022/2023,01/03/2023,Southampton,Grimsby,1,2,Grimsby,Southampton,FALSE
2023/2024,06/01/2024,Southampton,Walsall,4,0,Southampton,Southampton,FALSE
2023/2024,06/02/2024,Southampton,Watford,3,0,Southampton,Southampton,FALSE
2020/2021,19/01/2021,Southampton,Shrewsbury,2,0,Southampton,Southampton,FALSE
2021/2022,20/03/2022,Southampton,Man City,1,4,Man City,Southampton,FALSE
2020/2021,23/01/2021,Southampton,Arsenal,1,0,Southampton,Southampton,FALSE
2022/2023,28/01/2023,Southampton,Blackpool,2,1,Southampton,Southampton,FALSE
2018/2019,10/11/2018,Southend,Crawley,1,1,Draw,Southend-on-Sea,FALSE
2018/2019,01/12/2018,Southend,Barnsley,2,4,Barnsley,Southend-on-Sea,FALSE
2018/2019,17/12/2018,Southport,Tranmere,0,2,Tranmere,Southport,FALSE
2018/2019,10/11/2018,Southport,Boreham Wood,2,0,Southport,Southport,FALSE
2021/2022,07/11/2021,St. Albans,Forest Green,3,2,St. Albans,St Albans,FALSE
2019/2020,11/09/2019,Stevenage,Peterborough,1,1,Draw,Stevenage,FALSE
2020/2021,07/11/2020,Stevenage,Concord,3,2,Stevenage,Stevenage,FALSE
2020/2021,09/01/2021,Stevenage,Swansea,0,2,Swansea,Stevenage,FALSE
2023/2024,02/12/2023,Stevenage,Port Vale,1,1,Draw,Stevenage,FALSE
2023/2024,04/11/2023,Stevenage,Tranmere,4,3,Stevenage,Stevenage,FALSE
2021/2022,16/11/2021,Stevenage,MK Dons,2,1,Stevenage,Stevenage,FALSE
2020/2021,29/11/2020,Stevenage,Hull,2,1,Stevenage,Stevenage,FALSE
2020/2021,11/01/2021,Stockport,West Ham,0,1,West Ham,Stockport,FALSE
2022/2023,05/11/2022,Stockport,Swindon,4,0,Stockport,Stockport,FALSE
2022/2023,07/12/2022,Stockport,Charlton,3,1,Stockport,Stockport,FALSE
2023/2024,04/11/2023,Stockport,Worksop,5,1,Stockport,Stockport,FALSE
2022/2023,08/01/2023,Stockport,Walsall,1,2,Walsall,Stockport,FALSE
2023/2024,13/12/2023,Stockport,Aldershot,0,1,Aldershot,Stockport,FALSE
2021/2022,17/11/2021,Stockport,Bolton,5,3,Stockport,Stockport,FALSE
2020/2021,29/11/2020,Stockport,Yeovil,3,2,Stockport,Stockport,FALSE
2018/2019,15/01/2019,Stoke,Shrewsbury,2,3,Shrewsbury,Stoke,FALSE
2020/2021,09/01/2021,Stoke,Leicester,0,4,Leicester,Stoke,FALSE
2021/2022,05/02/2022,Stoke,Wigan,2,0,Stoke,Stoke,FALSE
2021/2022,09/01/2022,Stoke,Leyton Orient,2,0,Stoke,Stoke,FALSE
2023/2024,06/01/2024,Stoke,Brighton,2,4,Brighton,Stoke,FALSE
2022/2023,28/02/2023,Stoke,Brighton,0,1,Brighton,Stoke,FALSE
2022/2023,29/01/2023,Stoke,Stevenage,3,1,Stoke,Stoke,FALSE
2019/2020,11/09/2019,Stourbridge,Eastleigh,2,2,Draw,Dudley,FALSE
2021/2022,07/11/2021,Stratford,Shrewsbury,1,5,Shrewsbury,Straford,FALSE
2021/2022,05/11/2021,Sudbury,Colchester,0,4,Colchester,Sudbury,FALSE
2018/2019,11/12/2018,Sunderland,Walsall,0,1,Walsall,Sunderland,FALSE
2019/2020,11/09/2019,Sunderland,Gillingham,1,1,Draw,Sunderland,FALSE
2020/2021,07/11/2020,Sunderland,Mansfield,0,1,Mansfield,Sunderland,FALSE
2021/2022,06/11/2021,Sunderland,Mansfield,0,1,Mansfield,Sunderland,FALSE
2022/2023,08/02/2023,Sunderland,Fulham,2,3,Fulham,Sunderland,FALSE
2023/2024,06/01/2024,Sunderland,Newcastle,0,3,Newcastle,Sunderland,TRUE
2022/2023,05/11/2022,Sutton,Farnborough,0,2,Farnborough,London,FALSE
2023/2024,02/12/2023,Sutton,Horsham FC,3,0,Sutton,London,FALSE
2023/2024,04/11/2023,Sutton,AFC Fylde,2,1,Sutton,London,FALSE
2018/2019,10/11/2018,Sutton,Slough,0,0,Draw,London,FALSE
2018/2019,26/01/2019,Swansea,Gillingham,4,1,Swansea,Swansea,FALSE
2018/2019,17/02/2019,Swansea,Brentford,4,1,Swansea,Swansea,FALSE
2018/2019,16/03/2019,Swansea,Man City,2,3,Man City,Swansea,FALSE
2020/2021,10/02/2021,Swansea,Man City,1,3,Man City,Swansea,FALSE
2021/2022,08/01/2022,Swansea,Southampton,2,3,Southampton,Swansea,FALSE
2023/2024,06/01/2024,Swansea,Morecambe,2,0,Swansea,Swansea,FALSE
2022/2023,17/01/2023,Swansea,Bristol City,1,2,Bristol City,Swansea,FALSE
2020/2021,23/01/2021,Swansea,Nottm Forest,5,1,Swansea,Swansea,FALSE
2019/2020,11/19/2019,Swindon,Cheltenham,0,1,Cheltenham,Swindon,FALSE
2020/2021,07/11/2020,Swindon,Darlington,1,2,Darlington,Swindon,FALSE
2021/2022,07/01/2022,Swindon,Man City,1,4,Man City,Swindon,FALSE
2023/2024,04/11/2023,Swindon,Aldershot,4,7,Aldershot,Swindon,FALSE
2018/2019,10/11/2018,Swindon,York City,2,1,Swindon,Swindon,FALSE
2018/2019,02/12/2018,Swindon,Woking,0,1,Woking,Swindon,FALSE
2020/2021,07/11/2020,Tonbridge,Bradford City,0,7,Bradford City,Tonbridge,FALSE
2020/2021,08/11/2020,Torquay,Crawley,5,6,Crawley,Torquay,FALSE
2022/2023,06/11/2022,Torquay,Derby,2,2,Draw,Torquay,FALSE
2018/2019,10/11/2018,Torquay,Woking,0,1,Woking,Torquay,FALSE
2019/2020,1/14/2020,Tottenham,Middlesbrough,2,1,Tottenham,London,FALSE
2019/2020,02/05/2020,Tottenham,Southampton,3,2,Tottenham,London,FALSE
2019/2020,03/04/2020,Tottenham,Norwich,1,2,Norwich,London,FALSE
2021/2022,05/02/2022,Tottenham,Brighton,3,1,Tottenham,London,FALSE
2021/2022,09/01/2022,Tottenham,Morecambe,3,1,Tottenham,London,FALSE
2022/2023,07/01/2023,Tottenham,Portsmouth,1,0,Tottenham,London,FALSE
2023/2024,05/01/2024,Tottenham,Burnley,1,0,Tottenham,London,FALSE
2023/2024,27/01/2024,Tottenham,Man City,0,1,Man City,London,FALSE
2018/2019,04/01/2019,Tranmere,Tottenham,0,7,Tottenham,Birkenhead,FALSE
2019/2020,11/09/2019,Tranmere,Wycombe,2,2,Draw,Birkenhead,FALSE
2019/2020,12/01/2019,Tranmere,Chichester,5,1,Tranmere,Birkenhead,FALSE
2019/2020,1/23/2020,Tranmere,Watford,2,1,Tranmere,Birkenhead,FALSE
2019/2020,1/26/2020,Tranmere,Man Utd,0,6,Man Utd,Birkenhead,FALSE
2020/2021,07/11/2020,Tranmere,Accrington,2,1,Tranmere,Birkenhead,FALSE
2018/2019,10/11/2018,Tranmere,Oxford City,3,3,Draw,Birkenhead,FALSE
2018/2019,02/12/2018,Tranmere,Southport,1,1,Draw,Birkenhead,FALSE
2020/2021,27/11/2020,Tranmere,Brackley Town,1,0,Tranmere,Birkenhead,FALSE
2019/2020,11/09/2019,Walsall,Darlington,2,2,Draw,Walsall,FALSE
2019/2020,11/30/2019,Walsall,Oxford Utd,0,1,Oxford Utd,Walsall,FALSE
2020/2021,07/11/2020,Walsall,Bristol Rovers,1,2,Bristol Rovers,Walsall,FALSE
2021/2022,04/12/2021,Walsall,Swindon,1,2,Swindon,Walsall,FALSE
2023/2024,12/12/2023,Walsall,Alfreton,1,0,Walsall,Walsall,FALSE
2018/2019,10/11/2018,Walsall,Coventry,3,2,Walsall,Walsall,FALSE
2022/2023,26/11/2022,Walsall,Carlisle,2,1,Walsall,Walsall,FALSE
2018/2019,01/12/2018,Walsall,Sunderland,1,1,Draw,Walsall,FALSE
2022/2023,28/01/2023,Walsall,Leicester,0,1,Leicester,Walsall,FALSE
2018/2019,16/03/2019,Watford,Crystal Palace,2,1,Watford,Watford,FALSE
2018/2019,07/04/2019,Watford,Wolves,3,2,Watford,Watford,FALSE
2019/2020,01/04/2020,Watford,Tranmere,3,3,Draw,Watford,FALSE
2023/2024,06/01/2024,Watford,Chesterfield,2,1,Watford,Watford,FALSE
2023/2024,28/01/2024,Watford,Southampton,1,1,Draw,Watford,FALSE
2018/2019,06/02/2019,West Brom,Brighton,1,3,Brighton,West Bromich,FALSE
2018/2019,05/01/2019,West Brom,Wigan,1,0,West Brom,West Bromich,FALSE
2019/2020,03/03/2020,West Brom,Newcastle,2,3,Newcastle,West Bromich,FALSE
2021/2022,08/01/2022,West Brom,Brighton,1,2,Brighton,West Bromich,FALSE
2023/2024,07/01/2024,West Brom,Aldershot,4,1,West Brom,West Bromich,FALSE
2022/2023,17/01/2023,West Brom,Chesterfield,4,0,West Brom,West Bromich,FALSE
2023/2024,28/01/2024,West Brom,Wolves,0,2,Wolves,West Bromich,TRUE
2018/2019,05/01/2019,West Ham,Birmingham,2,0,West Ham,London,FALSE
2019/2020,1/25/2020,West Ham,West Brom,0,1,West Brom,London,FALSE
2021/2022,09/01/2022,West Ham,Leeds,2,0,West Ham,London,FALSE
2023/2024,07/01/2024,West Ham,Bristol City,1,1,Draw,London,FALSE
2020/2021,23/01/2021,West Ham,Doncaster,4,0,West Ham,London,FALSE
2018/2019,11/11/2018,Weston-super-Mare,Wrexham,0,2,Wrexham,Weston-super-Mare,FALSE
2022/2023,05/11/2022,Weymouth,AFC Wimbledon,1,1,Draw,Weymouth,FALSE
2020/2021,08/11/2020,Wigan,Chorley,2,3,Chorley,Wigan,FALSE
2021/2022,06/11/2021,Wigan,Solihull Moors,0,0,Draw,Wigan,FALSE
2021/2022,08/01/2022,Wigan,Blackburn,3,2,Wigan,Wigan,FALSE
2023/2024,08/01/2024,Wigan,Man Utd,0,2,Man Utd,Wigan,FALSE
2022/2023,17/01/2023,Wigan,Luton,1,2,Luton,Wigan,FALSE
2018/2019,06/01/2019,Woking,Watford,0,2,Watford,Woking,FALSE
2022/2023,16/11/2022,Woking,Oxford Utd,1,2,Oxford Utd,Woking,FALSE
2018/2019,16/03/2019,Wolverhampton Wolves,Man Utd,2,1,Wolverhampton Wolves,Wolverhampton,FALSE
2018/2019,07/01/2019,Wolverhampton Wolves,Liverpool,2,1,Wolverhampton Wolves,Wolverhampton,FALSE
2018/2019,05/02/2019,Wolverhampton Wolves,Shrewsbury,3,2,Wolverhampton Wolves,Wolverhampton,TRUE
2019/2020,01/04/2020,Wolverhampton Wolves,Man Utd,0,0,Draw,Wolverhampton,FALSE
2020/2021,08/01/2021,Wolverhampton Wolves,Crystal Palace,1,0,Wolverhampton Wolves,Wolverhampton,FALSE
2020/2021,11/02/2021,Wolverhampton Wolves,Southampton,0,2,Southampton,Wolverhampton,FALSE
2021/2022,05/02/2022,Wolverhampton Wolves,Norwich,0,1,Norwich,Wolverhampton,FALSE
2021/2022,09/01/2022,Wolverhampton Wolves,Sheff Utd,3,0,Wolverhampton Wolves,Wolverhampton,FALSE
2023/2024,16/01/2024,Wolverhampton Wolves,Brentford,3,2,Wolverhampton Wolves,Wolverhampton,FALSE
2023/2024,16/03/2024,Wolverhampton Wolves,Coventry,2,3,Coventry,Wolverhampton,FALSE
2022/2023,17/01/2023,Wolverhampton Wolves,Liverpool,0,1,Liverpool,Wolverhampton,FALSE
2023/2024,28/02/2024,Wolverhampton Wolves,Brighton,1,0,Wolverhampton Wolves,Wolverhampton,FALSE
2019/2020,11/10/2019,Wrexham,Rochdale,0,0,Draw,Wrexham,FALSE
2022/2023,06/11/2022,Wrexham,Oldham,3,0,Wrexham,Wrexham,FALSE
2023/2024,03/12/2023,Wrexham,Yeovil,3,0,Wrexham,Wrexham,FALSE
2022/2023,26/11/2022,Wrexham,Farnborough,4,1,Wrexham,Wrexham,FALSE
2022/2023,29/01/2023,Wrexham,Sheff Utd,3,3,Draw,Wrexham,FALSE
2018/2019,01/12/2018,Wrexham,Newport,0,0,Draw,Wrexham,FALSE
2019/2020,11/20/2019,Wycombe,Tranmere,1,2,Tranmere,High Wycombe,FALSE
2020/2021,09/01/2021,Wycombe,Preston,4,1,Wycombe,High Wycombe,FALSE
2022/2023,05/11/2022,Wycombe,Walsall,0,2,Walsall,High Wycombe,FALSE
2023/2024,02/12/2023,Wycombe,Morecambe,0,2,Morecambe,High Wycombe,FALSE
2021/2022,16/11/2021,Wycombe,Hartlepool,0,1,Hartlepool,High Wycombe,FALSE
2020/2021,25/01/2021,Wycombe,Tottenham,1,4,Tottenham,High Wycombe,FALSE
2021/2022,06/11/2021,Yate Town,Yeovil,0,5,Yeovil,Yate,FALSE
2019/2020,11/12/2019,Yeovil,Hartlepool,1,4,Hartlepool,Yeovil,FALSE
2021/2022,04/12/2021,Yeovil,Steven,1,0,Yeovil,Yeovil,FALSE
2021/2022,08/01/2022,Yeovil,Bournemouth,1,3,Bournemouth,Yeovil,FALSE
2023/2024,04/11/2023,Yeovil,Gateshead,3,2,Yeovil,Yeovil,FALSE
2018/2019,10/11/2018,Yeovil,Stockport,1,3,Stockport,Yeovil,FALSE
2019/2020,11/10/2019,York City,Altrincham,0,1,Altrincham,York,FALSE
2021/2022,06/11/2021,York City,Buxton,0,1,Buxton,York,FALSE
2023/2024,01/12/2023,York City,Wigan,0,1,Wigan,York,FALSE
2023/2024,14/11/2023,York City,Chester,2,1,York City,York,FALSE
